inc_id,id,sampledate,site,rack,inc_depth,light_trt,probe,time_start,time_end,barom_start,barom_end,temp_start,temp_end,o2_sat_start,o2_sat_end,do_start,do_end,column_depth,midge_tubes,tt,ch,tp,or,flag,notes
15,105,2019-07-22,e5,1,0.5,10,2017,2019-07-22T16:34:00Z,2019-07-22T18:38:00Z,732.7,732.7,12.7,12.9,99.5,93.7,10.17,9.54,17.5,NA,NA,NA,NA,NA,0,NA
1,106,2019-07-22,reyk,1,0.5,0,2012,2019-07-22T15:07:00Z,2019-07-22T17:52:00Z,732.9,733.1,13.2,12.9,100.9,103.8,10.21,10.55,22,NA,NA,NA,NA,NA,0,NA
2,107,2019-07-22,reyk,1,0.5,1,2012,2019-07-22T15:09:00Z,2019-07-22T17:54:00Z,732.9,733.1,13.4,13.3,103,104.8,10.38,10.59,25,NA,NA,NA,NA,NA,0,NA
3,108,2019-07-22,reyk,1,0.5,3,2012,2019-07-22T15:10:00Z,2019-07-22T17:56:00Z,732.9,733.1,13.3,13.2,100.1,98.8,10.1,9.99,23.5,NA,NA,NA,NA,NA,0,NA
4,109,2019-07-22,reyk,1,0.5,7,2012,2019-07-22T15:12:00Z,2019-07-22T17:58:00Z,732.9,733.1,13.4,13.3,95,94.3,9.55,9.52,23.4,NA,NA,NA,NA,NA,1,column depth not taken; used average from 6 that were taken
5,110,2019-07-22,reyk,1,0.5,10,2012,2019-07-22T15:14:00Z,2019-07-22T18:00:00Z,732.9,733.1,13.5,13.3,94.3,88.2,9.47,8.89,24,NA,NA,NA,NA,NA,0,NA
6,111,2019-07-22,reyk,1,0.5,0,2012,2019-07-22T15:15:00Z,2019-07-22T18:02:00Z,732.9,733.1,13.4,13.3,103.3,107.5,10.4,10.83,23.4,NA,NA,NA,NA,NA,1,column depth not taken; used average from 6 that were taken
7,112,2019-07-22,reyk,1,0.5,1,2012,2019-07-22T15:17:00Z,2019-07-22T18:04:00Z,732.9,733.1,13.4,13.3,99.2,99,9.99,10,23.4,NA,NA,NA,NA,NA,1,column depth not taken; used average from 6 that were taken
8,113,2019-07-22,reyk,1,0.5,3,2012,2019-07-22T15:18:00Z,2019-07-22T18:05:00Z,732.9,733.1,13.4,13.4,98.8,96.2,9.95,9.69,23.4,NA,NA,NA,NA,NA,1,column depth not taken; used average from 6 that were taken
9,114,2019-07-22,reyk,1,0.5,7,2012,2019-07-22T15:20:00Z,2019-07-22T18:07:00Z,732.9,733.1,13.5,13.4,95.1,92,9.56,9.26,23,NA,NA,NA,NA,NA,0,NA
10,115,2019-07-22,reyk,1,0.5,10,2012,2019-07-22T15:21:00Z,2019-07-22T18:09:00Z,732.9,733.1,13.4,13.4,95.6,91.3,9.63,9.19,23.4,NA,NA,NA,NA,NA,1,column depth not taken; used average from 6 that were taken
